Year,Month,votos,partido,encuesta,id
26/10/17,Octubre,6.3,CUP,SigmaDos,2
26/10/17,Octubre,26.4,ERC,SigmaDos,2
26/10/17,Octubre,9.8,JxCAT,SigmaDos,2
26/10/17,Octubre,11,CeCP,SigmaDos,2
26/10/17,Octubre,15.1,PSC,SigmaDos,2
26/10/17,Octubre,19.6,Cs,SigmaDos,2
26/10/17,Octubre,8.7,PP,SigmaDos,2
31/10/17,Octubre,5.7,CUP,SocioMetrica,3
31/10/17,Octubre,31.2,ERC,SocioMetrica,3
31/10/17,Octubre,10.1,JxCAT,SocioMetrica,3
31/10/17,Octubre,10,CeCP,SocioMetrica,3
31/10/17,Octubre,12.2,PSC,SocioMetrica,3
31/10/17,Octubre,18.3,Cs,SocioMetrica,3
31/10/17,Octubre,9,PP,SocioMetrica,3
03/11/17,Noviembre,6.3,CUP,NC Report,4
03/11/17,Noviembre,26.3,ERC,NC Report,4
03/11/17,Noviembre,10.7,JxCAT,NC Report,4
03/11/17,Noviembre,10.4,CeCP,NC Report,4
03/11/17,Noviembre,13.6,PSC,NC Report,4
03/11/17,Noviembre,19.6,Cs,NC Report,4
03/11/17,Noviembre,10.5,PP,NC Report,4
16/11/17,Noviembre,5.6,CUP,GAD3,5
16/11/17,Noviembre,23.1,ERC,GAD3,5
16/11/17,Noviembre,16.7,JxCAT,GAD3,5
16/11/17,Noviembre,7.6,CeCP,GAD3,5
16/11/17,Noviembre,15.1,PSC,GAD3,5
16/11/17,Noviembre,22.3,Cs,GAD3,5
16/11/17,Noviembre,7.8,PP,GAD3,5
18/11/17,Noviembre,6.3,CUP,GESOP,6
18/11/17,Noviembre,23.9,ERC,GESOP,6
18/11/17,Noviembre,16.5,JxCAT,GESOP,6
18/11/17,Noviembre,8.6,CeCP,GESOP,6
18/11/17,Noviembre,18.1,PSC,GESOP,6
18/11/17,Noviembre,18.6,Cs,GESOP,6
18/11/17,Noviembre,5.7,PP,GESOP,6
