Año;Jugador;Precio_original;Moneda_original;IPCEuros(mill)
1961;Luis Suarez;150000;Libras;4,7
1973;Johan Cruyff;600000;Libras;9,8
1984;Diego Maradona;6120000;Libras;29,5
1992;Gianluigi Lentini;13000000;Libras;36,6
1997;Ronaldo luís Nzário;16700000;Libras;41,5
2000;Luis Figo;60000000;Euros;82
2001;Zinedine Zidane;77500000;Euros;107
2009;Cristiano Ronaldo;94000000;Euros;103
2013;Gareth Bale;101000000;Euros;102
2016;Paul Pogba;105000000;Euros;106
2017;Neymar da Silva Santos;222000000;Euros;222
