Código;Estudios;Lugar;Universitat;Àmbit;PAU y FP;Mayores de 25;Titulados Universitarios;Mayores de 45
21005;Física / Matemàtiques ;Cerdanyola del Vallès ;UAB;Ciencias; 13,352;  5,000;  6,690;  5,000
11020;Física / Matemàtiques ;Barcelona;UB;Ciencias; 13,115;  7,375;  7,370;  5,000
91901;Medicina ;Barcelona ;UPF / UAB;Ciencias de la Salud; 12,840;  6,563;  8,960;  5,000
11043;Medicina ;Campus Clínic ;UB;Ciencias de la Salud; 12,725;  6,313;  8,900;  5,000
31067;Enginyeria Física ;Barcelona ;UPC;Ingeniería y Arquitectura; 12,690;  5,000;  5,000;  5,000
11083;Medicina ;Campus Bellvitge ;UB;Ciencias de la Salud; 12,639;  5,938;  9,180;  5,333
71054;Bioquímica i Biologia Molecular / Biotecnologia ;Tarragona ;URV;Ciencias; 12,614;  6,875;  5,000;  5,000
41042;Filosofia, Política i Economia ;Barcelona ;UPF / UAB;Ciencias Sociales y Jurídicas; 12,610;  6,813;  8,303;  5,000
31040;Matemàtiques ;Barcelona ;UPC;Ciencias; 12,540;  5,000;  5,000;  5,000
41022;Estudis Internacionals d'Economia i Empresa - International Business Economics ;Docència en Anglès ;UPF;Ciencias Sociales y Jurídicas; 12,446;  5,688;  7,710;  5,000
21100;Física / Química ;Cerdanyola del Vallès;UAB;Ciencias; 12,440;  7,250;  5,000;  5,000
21079;Medicina ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud; 12,365;  5,563;  8,800;  5,000
41051;Estudis Globals ;Barcelona ;UPF;Artes y Humanidades; 12,350;  5,000;  5,890;  7,833
71019;Medicina ;Reus ;URV;Ciencias de la Salud; 12,346;  5,250;  8,960;  5,000
21010;Ciències Biomèdiques ;Cerdanyola del Vallès ;UAB;Ciencias de la Salud; 12,330;  5,000;  8,018;  5,000
61030;Medicina ;Lleida ;UdL;Ciencias de la Salud; 12,311;  5,000;  8,910;  5,000
31026;Enginyeria en Tecnologies Aeroespacials ;Terrassa ;UPC;Ingeniería y Arquitectura; 12,310;  5,000;  6,300;  5,000
81001;Medicina ;Girona ;UdG;Ciencias de la Salud; 12,310;  5,188;  8,790;  5,000
11059;Enginyeria Biomèdica ;Barcelona ;UB;Ingeniería y Arquitectura; 12,160;  5,000;  7,820;  5,000
11006;Ciències Biomèdiques ;Barcelona / L'Hospitalet de Llobregat ;UB;Ciencias de la Salud; 12,110;  5,375;  8,159;  5,000
41001;Biologia Humana ;Barcelona ;UPF;Ciencias de la Salud; 12,072;  5,125;  7,928;  5,000
11016;Enginyeria Informàtica / Matemàtiques ;Barcelona;UB;Ingeniería y Arquitectura; 11,964;  5,000;  5,000;  5,000
41033;Enginyeria Biomèdica ;Barcelona ;UPF;Ingeniería y Arquitectura; 11,926;  6,313;  6,745;  5,000
41034;Dret / Administració i Direcció d'Empreses - Economia ;Barcelona ;UPF;Ciencias Sociales y Jurídicas; 11,900;  5,000;  5,000;  5,000
21035;Genètica ;Cerdanyola del Vallès ;UAB;Ciencias; 11,850;  6,813;  7,430;  5,000
41025;Periodisme ;Barcelona ;UPF;Ciencias Sociales y Jurídicas; 11,790;  5,188;  5,000;  7,167
31031;Enginyeria en Vehicles Aeroespacials ;Terrassa ;UPC;Ingeniería y Arquitectura; 11,786;  5,000;  5,810;  5,000
11003;Bioquímica ;Barcelona ;UB;Ciencias; 11,780;  5,000;  7,610;  5,000
91054;Medicina ;Manresa / Vic ;UVic;Ciencias de la Salud; 11,771;  5,000;  8,510;  5,000
81047;Biologia / Biotecnologia ;Girona ;UdG;Ciencias; 11,750;  5,000;  5,000;  5,000
41050;Grau Obert, Programa de ;Agrupació ;UPF;Artes y Humanidades; 11,690;  5,000;  5,000;  5,000
61044;Fisioteràpia / Infermeria ;Lleida ;UdL;Ciencias de la Salud; 11,688;  5,000;  7,075;  5,000
11075;Farmàcia / Nutrició humana i dietètica ;Barceloona;UB;Ciencias de la Salud; 11,678;  7,125;  8,250;  5,000
61004;Ciències Biomèdiques ;Lleida ;UdL;Ciencias de la Salud; 11,642;  5,000;  8,260;  5,000
