Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1981,"21,9","36,3","45,3","82,7","39,4","25,9","14,5",19,"43,5",33,2,"131,6"
1982,"59,1",54,"37,3","32,6","46,6","29,9","24,1",25,"44,8","73,4","109,5","56,4"
1983,"4,8","48,2","25,6","82,2","39,6","23,5","22,2","64,9","7,6","23,2","132,2","81,1"
1984,"56,7","43,2",79,"45,5","120,4",40,"5,7","18,8",29,"56,4","167,9",33
1985,"88,8","82,9",40,"63,7","67,2","23,1","17,8","5,7","10,8",14,"85,5","86,1"
1986,"64,7","97,4",36,"64,7","29,8","17,3","12,8","12,2","75,7","72,8","46,8",37
1987,"96,8","73,1","26,6","62,6",24,"22,5","47,7","19,8","35,9","124,5","74,3","109,3"
1988,"111,5","39,8","18,5","102,2","79,9",24,"101,4","6,5","14,1","68,7","66,5","10,6"
1989,"25,8","62,7","43,9","89,7","64,6","23,1","15,9","25,9","52,3","40,9","164,4","161,7"
1990,"54,5","13,6","23,5","79,2","39,2","29,5",14,"21,3","32,9","107,3","64,2","43,3"
1991,"45,7","73,2",95,"50,7","30,4","17,2","15,2","10,9","60,9","73,1","63,8","29,2"
1992,"24,4","34,5","43,2","48,4","60,1","94,8","16,2",39,"43,3","115,5","23,6","66,2"
1993,"12,2","38,2","37,8",73,"87,8","45,1","10,3","23,8","53,2","139,3","60,3",36
1994,69,"64,7","9,1","46,3","76,2","12,8","9,2",12,"54,1","86,6","64,1","48,9"
1995,"53,1","53,9","27,9","23,5","37,2","37,7","17,4","26,4","38,5","22,4","97,6","169,8"
1996,"183,3","60,4","49,3",43,"85,3","20,2",22,"32,7","60,5","38,2","106,1","192,2"
1997,"130,5","10,1",3,"48,7","84,9","59,1","42,2","47,8","53,5",55,"172,1","133,5"
1998,"54,5","39,3","26,6","88,1","91,9","24,5","10,3",19,"67,1","32,8",33,53
1999,"47,1","30,6","61,3",53,"52,9","23,7","25,7","19,8",85,"126,6","46,3","56,5"
2000,"24,8","12,1","32,3","132,3","70,8","23,9","16,2","12,3",29,"92,4","119,6","151,1"
2001,137,"50,6","126,2","27,7","55,2","10,7","27,1","16,3","48,6","88,5",48,34
2002,"48,7","26,7","66,8","71,5","65,9","36,1","14,7","35,8","59,6","75,6","111,2",107
2003,"91,7","82,8","50,1","63,3",46,"24,3","12,8","27,2",49,"150,1","100,4","70,8"
2004,"43,4","63,3","77,4","66,5","79,1","18,1","17,4","30,3","28,8","100,8","30,2","55,1"
2005,"14,6","40,1","34,9","40,3","39,3","20,1","7,8","14,5","33,1",104,"67,9","51,7"
2006,"58,2","53,9","71,3","44,9","30,3","37,2","19,1","19,5","61,6","115,3","104,6","47,4"
2007,"38,9",74,56,"92,9",76,"37,5","8,8","30,7","40,1","54,5","39,7","28,2"
2008,"50,2","42,2","41,3",111,"125,1","41,3","13,3","13,8","43,5","105,5","64,6","73,1"
2009,"82,3","49,1","47,4",56,"25,8","27,7","12,8","16,5","45,8",53,"61,2","183,5"
2010,"110,8","129,6","79,9","53,2","55,2","71,9","12,1","19,7","37,4","90,1","78,8","130,5"
2011,"59,6","53,3",77,64,"59,8","26,7","18,1","18,9","16,3","52,7","104,7","27,4"
2012,22,"15,5","25,4","94,2","41,9","21,1","13,9",10,"60,4","103,5","112,6","49,6"
2013,95,"75,5","166,1","70,4","51,1","31,8","21,5","22,2","41,1","68,4","54,1","72,4"
2014,99,"94,4","52,1","52,7","33,4","29,2","27,2","18,2","65,2","61,5","144,5",43
2015,"64,2",59,"63,7","45,7","17,6","42,6","21,4","25,9",43,"77,9","54,1","18,7"
2016,"94,5","94,4","65,5","95,6",81,16,"12,1","8,4","25,7","56,3","108,6","50,6"
2017,"40,7","71,5","60,5","26,3","46,5","32,2","18,4","28,9","14,9","25,6",,
