Año,Field,Value
1981,Enero,21.9
1981,Febrero,36.3
1981,Marzo,45.3
1981,Abril,82.7
1981,Mayo,39.4
1981,Junio,25.9
1981,Julio,14.5
1981,Agosto,19
1981,Septiembre,43.5
1981,Octubre,33
1981,Noviembre,2
1981,Diciembre,131.6
1982,Enero,59.1
1982,Febrero,54
1982,Marzo,37.3
1982,Abril,32.6
1982,Mayo,46.6
1982,Junio,29.9
1982,Julio,24.1
1982,Agosto,25
1982,Septiembre,44.8
1982,Octubre,73.4
1982,Noviembre,109.5
1982,Diciembre,56.4
1983,Enero,4.8
1983,Febrero,48.2
1983,Marzo,25.6
1983,Abril,82.2
1983,Mayo,39.6
1983,Junio,23.5
1983,Julio,22.2
1983,Agosto,64.9
1983,Septiembre,7.6
1983,Octubre,23.2
1983,Noviembre,132.2
1983,Diciembre,81.1
1984,Enero,56.7
1984,Febrero,43.2
1984,Marzo,79
1984,Abril,45.5
1984,Mayo,120.4
1984,Junio,40
1984,Julio,5.7
1984,Agosto,18.8
1984,Septiembre,29
1984,Octubre,56.4
1984,Noviembre,167.9
1984,Diciembre,33
1985,Enero,88.8
1985,Febrero,82.9
1985,Marzo,40
1985,Abril,63.7
1985,Mayo,67.2
1985,Junio,23.1
1985,Julio,17.8
1985,Agosto,5.7
1985,Septiembre,10.8
1985,Octubre,14
1985,Noviembre,85.5
1985,Diciembre,86.1
1986,Enero,64.7
1986,Febrero,97.4
1986,Marzo,36
1986,Abril,64.7
1986,Mayo,29.8
1986,Junio,17.3
1986,Julio,12.8
1986,Agosto,12.2
1986,Septiembre,75.7
1986,Octubre,72.8
1986,Noviembre,46.8
1986,Diciembre,37
1987,Enero,96.8
1987,Febrero,73.1
1987,Marzo,26.6
1987,Abril,62.6
1987,Mayo,24
1987,Junio,22.5
1987,Julio,47.7
1987,Agosto,19.8
1987,Septiembre,35.9
1987,Octubre,124.5
1987,Noviembre,74.3
1987,Diciembre,109.3
1988,Enero,111.5
1988,Febrero,39.8
1988,Marzo,18.5
1988,Abril,102.2
1988,Mayo,79.9
1988,Junio,24
1988,Julio,101.4
1988,Agosto,6.5
1988,Septiembre,14.1
1988,Octubre,68.7
1988,Noviembre,66.5
1988,Diciembre,10.6
1989,Enero,25.8
1989,Febrero,62.7
1989,Marzo,43.9
1989,Abril,89.7
1989,Mayo,64.6
1989,Junio,23.1
1989,Julio,15.9
1989,Agosto,25.9
1989,Septiembre,52.3
1989,Octubre,40.9
1989,Noviembre,164.4
