Pais,Brazil,Vietnam,Colombia,Indonesia,India,Honduras,Peru,Uganda,Ethiopia,Guatemala
1990,"16936","1145","13944","6903","1979","1735","1105","2353","1074","3240"
1991,"21183","1201","12599","6171","1727","1444","1042","2095","841","2832"
1992,"18791","1938","16564","4604","1816","1960","1061","1961","734","3328"
1993,"17838","2072","13568","5662","2102","1705","775","1829","1167","3751"
1994,"17273","2721","11768","4605","2496","1718","1057","3369","1475","3274"
1995,"14468","3546","9814","3947","2469","1796","1760","3079","1276","3701"
1996,"15251","3779","10588","6440","3120","2060","1679","4655","1838","3979"
1997,"16801","6178","10919","5755","2640","1722","1648","3502","1980","4244"
1998,"18144","6467","11260","5598","3487","2329","1949","3286","1917","3542"
1999,"23149","7727","9995","5115","3622","1987","2407","3841","1818","4681"
2000,"18016","11618","9177","5358","4229","2879","2362","2513","1982","4852"
2001,"23172","14106","9944","5243","3730","2392","2663","3060","1376","4110"
2002,"27982","11771","10273","4286","3550","2711","2789","3358","2055","3491"
2003,"25711","11631","10244","4795","3707","2425","2503","2522","2229","3821"
2004,"26478","14859","10194","5456","3647","2779","3184","2627","2491","3310"
2005,"26198","13432","10871","6744","2829","2392","2369","2369","2435","3466"
2006,"27369","13905","10945","5280","3578","2898","3881","2173","2936","3312"
2007,"28184","17936","11300","4149","3319","3312","2879","2693","2604","3726"
2008,"29510","16101","11085","5741","3377","3259","3733","3311","2852","3778"
2009,"30378","17052","7894","7907","3007","3084","3074","3014","1851","3493"
2010,"33167","14229","7822","5489","4647","3349","3817","2657","3324","3468"
2011,"33806","17717","7734","6159","5414","3947","4697","3142","2675","3697"
2012,"28549","22920","7170","10722","5044","5508","4310","2685","3203","3750"
2013,"31662","19718","9670","10882","5033","4185","3971","3672","2870","3575"
2014,"36429","26097","10954","6175","5131","4252","2720","3442","3117","3043"
2015,"37018","20655","12716","8379","5262","5030","2790","3596","2985","2961"
2016,"34267","27568","12831","6545","6086","5306","3960","3543","3001","2991"
