Pais,USA,Germany,Italy,Japan,France,Belgium,Spain,Russian Federation,United Kingdom,Netherlands
1990,"21007","13671","5242","5330","6301","","3053","","2898","3128"
1991,"19840","13229","4630","5510","6553","","2970","","2806","3121"
1992,"22939","13789","4595","5326","6612","","3414","1382","3088","3205"
1993,"19329","14107","5594","5691","6334","","2813","1795","3197","2804"
1994,"16171","13583","5554","6217","6369","","3028","1726","3466","2800"
1995,"17107","12852","5388","5489","6214","","3146","1728","2807","2910"
1996,"19445","13507","5608","5994","6660","","3515","1128","2903","3084"
1997,"20343","13905","5743","5921","6704","","3777","2185","2929","2924"
1998,"21030","13740","5889","6027","6576","","3718","1732","3142","2862"
1999,"22746","14320","5943","6547","6676","3003","3986","1368","2907","2566"
2000,"23767","13895","6315","6908","6520","3491","3768","1890","3012","2966"
2001,"21415","14753","6542","6996","6753","3209","4058","3057","3062","2794"
2002,"21639","15516","6523","7307","6925","3792","4026","3504","2971","2760"
2003,"22760","15727","6929","6923","6652","3818","4136","3772","3002","3176"
2004,"23184","17356","7032","7254","5940","3968","4173","3205","3329","3159"
2005,"23042","16716","7269","7408","5714","4063","4356","3336","3433","2988"
2006,"23709","18543","7548","7632","6191","4605","4538","3465","4046","3293"
2007,"24219","19564","8028","7086","6420","4014","4875","4318","3781","3531"
2008,"24277","19876","8172","7060","6252","6792","4864","4053","3967","2304"
2009,"23578","19416","8078","7090","6670","5916","4811","3553","4131","2502"
2010,"24378","20603","8236","7407","6717","5924","5034","4155","4302","2583"
2011,"26093","20926","8355","7544","6992","5828","4821","4218","4183","2678"
2012,"26056","21816","8691","7025","6841","5668","5094","4175","4126","2730"
2013,"27016","21174","8823","8381","6713","5502","5137","4410","4206","3407"
