url;Field Label;Field Item 1
https://www.ethnologue.com/language/aaa;Country;Nigeria
https://www.ethnologue.com/language/aaa;Population;9000
https://www.ethnologue.com/language/aaa;DataYEAR;1994
https://www.ethnologue.com/language/aaa;Location;Edo state: Owan East LGA, Ogbodo.
https://www.ethnologue.com/language/aaa;Language Status;6a (Vigorous)
https://www.ethnologue.com/language/aaa;Classification;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Edoid, North-Central, Ghotuo-Uneme-Yekhee
https://www.ethnologue.com/language/aaa;Language Resources;OLAC resources in and about Ghotuo
https://www.ethnologue.com/language/aab;Country;Nigeria
https://www.ethnologue.com/language/aab;Alternate Names;Alumu, Arum-Cesu, Arum-Chessu, Arum-Tesu
https://www.ethnologue.com/language/aab;Population;7000
https://www.ethnologue.com/language/aab;DataYear;1999
https://www.ethnologue.com/language/aab;Location;Nassarawa state: Wamba LGA, near Wamba. Alumu dialect in 7 villages
https://www.ethnologue.com/language/aab;Language Status;6a (Vigorous).
https://www.ethnologue.com/language/aab;Classification;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Alumic
https://www.ethnologue.com/language/aab;Dialects;Alumu (Arum), Tesu. Related to Toro [tdv]. The 2 dialects have only intonation differences.
https://www.ethnologue.com/language/aab;Language Use;All ages.
https://www.ethnologue.com/language/aab;Language Resources;OLAC resources in and about Alumu-Tesu
https://www.ethnologue.com/language/aac;Country; Papua New Guinea
https://www.ethnologue.com/language/aac;Population;50
https://www.ethnologue.com/language/aac;DataYEAR;2000
https://www.ethnologue.com/language/aac;Location;Western province: Ari and Serea villages
https://www.ethnologue.com/language/aac;Language Maps;Papua New Guinea, Map 14
https://www.ethnologue.com/language/aac;Language Status;6b (Threatened)
https://www.ethnologue.com/language/aac;Classification;Trans-New Guinea, Gogodala-Suki, Gogodala
https://www.ethnologue.com/language/aac;Dialects;Serea
https://www.ethnologue.com/language/aac;Language Use;Also use Gogodala [ggw].
https://www.ethnologue.com/language/aac;Language Resources;OLAC resources in and about Ari
https://www.ethnologue.com/language/aac;Writing;Latin script [Latn].
https://www.ethnologue.com/language/aad;Country;Papua New Guinea
https://www.ethnologue.com/language/aad;ISO 639-3;aad
https://www.ethnologue.com/language/aad;Alternate Names;Alai
https://www.ethnologue.com/language/aad;Population;830
https://www.ethnologue.com/language/aad;DataYEAR;2003
https://www.ethnologue.com/language/aad;Location;East Sepik and Sandaun provinces: Wagana river, near confluence with Wanibe creek.
https://www.ethnologue.com/language/aad;Language Maps;Papua New Guinea, Map 5
https://www.ethnologue.com/language/aad;Language Status;6a (Vigorous).
https://www.ethnologue.com/language/aad;Classification;Sepik, Iwam
https://www.ethnologue.com/language/aad;Language Resources;OLAC resources in and about Amal
https://www.ethnologue.com/language/aae;Country;Italy
https://www.ethnologue.com/language/aae;ISO 639-3;aae
https://www.ethnologue.com/language/aae;Alternate Names;Arbëreshë
https://www.ethnologue.com/language/aae;Population;100000
https://www.ethnologue.com/language/aae;DataYEAR;2007
https://www.ethnologue.com/language/aae;Location;Calabria region: Catanzaro and Reggio di Calabria provinces
https://www.ethnologue.com/language/aae;Language Status;6b (Threatened).
https://www.ethnologue.com/language/aae;Classification;Indo-European, Albanian, Tosk
https://www.ethnologue.com/language/aae;Dialects;Sicilian Albanian, Calabrian Albanian, Central Mountain Albanian, Campo Marino Albanian, Molise Albanian. Speakers say 4 Italian dialects not mutually inherently intelligible. Lexical similarity: 45% with Tosk Albanian [als]. A member of macrolanguage Albanian [sqi].
https://www.ethnologue.com/language/aae;Language Use;Strong position in some districts. Taught in some schools. No official status. Home. In some places there may be children learning the language but many stop using it at school age (Salminen 2007). Also use Italian [ita]. Also use Italian [ita] and regional Italian varieties.
https://www.ethnologue.com/language/aae;Language Development;Some literature. Bible portions: 1868–1869.
https://www.ethnologue.com/language/aae;Language Resources;OLAC resources in and about Albanian, Arbëreshë
https://www.ethnologue.com/language/aae;Writing;Greek script [Grek], no longer in use. Latin script [Latn].
https://www.ethnologue.com/language/aae;Other Comments;Descendants of 15th century mercenaries and refugees from the Ottoman invasion. Christian.
https://www.ethnologue.com/language/aaf;Country;India
https://www.ethnologue.com/language/aaf;ISO 639-3;aaf
https://www.ethnologue.com/language/aaf;Alternate Names;Aranatan, Arnatas, Eranadans
https://www.ethnologue.com/language/aaf;Population;200
https://www.ethnologue.com/language/aaf;DataYEAR;2001
https://www.ethnologue.com/language/aaf;Location;Kerala state: Kozhihkode district, Ernad sub-district
https://www.ethnologue.com/language/aaf;Language Maps;India, Map 7
https://www.ethnologue.com/language/aaf;Language Status;6b (Threatened).
https://www.ethnologue.com/language/aaf;Classification;Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam
https://www.ethnologue.com/language/aaf;Dialects;None known. Lexical similarity: 63%–69% with Malayalam [mal], 53%–55% with Tamil [tam].
https://www.ethnologue.com/language/aaf;Language Use;Vitality in Malappuram District questionable due to small population, no separate settlements, living with Malayalis. Low education level helps keep language stable. Mixed use: Home, village. Negative attitudes. Most also use Malayalam [mal].
https://www.ethnologue.com/language/aaf;Language Development;Literacy rate in L2: 36%–41% in Kerala, 65% in Tamil Nadu (2001 census).
https://www.ethnologue.com/language/aaf;Language Resources;OLAC resources in and about Aranadan
https://www.ethnologue.com/language/aaf;Writing;Unwritten [Qaax].
https://www.ethnologue.com/language/aaf;Other Comments;A Scheduled Tribe. Traditional religion.
https://www.ethnologue.com/language/aag;Country;Papua New Guinea
https://www.ethnologue.com/language/aag;ISO 639-3;aag
https://www.ethnologue.com/language/aag;Population;290 (2000 census).
https://www.ethnologue.com/language/aag;Location;Sandaun province: Nuku district.
https://www.ethnologue.com/language/aag;Language Maps;Papua New Guinea, Map 3
https://www.ethnologue.com/language/aag;Language Status;6a (Vigorous).
https://www.ethnologue.com/language/aag;Classification;Torricelli, Wapei-Palei, Palei
https://www.ethnologue.com/language/aag;Language Resources;OLAC resources in and about Ambrak
https://www.ethnologue.com/language/aag;Writing;Unwritten [Qaax].
https://www.ethnologue.com/language/aah;Country;Papua New Guinea
https://www.ethnologue.com/language/aah;ISO 639-3;aah
https://www.ethnologue.com/language/aah;Alternate Names;Abu’, Ua
https://www.ethnologue.com/language/aah;Population;2,560 (2000 SIL). Ethnic population: 2,560 (2000 census).
https://www.ethnologue.com/language/aah;Location;East Sepik province: Maprik district, Mablep Rural LLG, ward 8
