paisos,any,Europeista_percentatge,Reformista_Percentatge,Euroesceptic_percentatge
Alemania,2005,"90,94","9,06",0
Alemania,2006,"90,94","9,06",0
Alemania,2007,"90,94","9,06",0
Alemania,2008,"90,94","9,06",0
Alemania,2009,"87,35","12,65",0
Alemania,2010,"87,35","12,65",0
Alemania,2011,"87,35","12,65",0
Alemania,2012,"87,35","12,65",0
Alemania,2013,"89,81","10,19",0
Alemania,2014,"89,81","10,19",0
Alemania,2015,"89,81","10,19",0
Alemania,2016,"89,81","10,19",0
Alemania,2017,"76,97","9,72","13,3"
Alemania,2018,"76,97","9,72","13,3"
Austria,2005,"89,82",0,"10,18"
Austria,2006,"82,37",0,"17,63"
Austria,2007,"82,37",0,"17,63"
Austria,2008,"70,22",0,"29,78"
Austria,2009,"70,22",0,"29,78"
Austria,2010,"70,22",0,"29,78"
Austria,2011,"70,22",0,"29,78"
Austria,2012,"70,22",0,"29,78"
Austria,2013,"72,22",0,"27,78"
Austria,2014,"72,22",0,"27,78"
Austria,2015,"72,22",0,"27,78"
Austria,2016,"72,22",0,"27,78"
Austria,2017,"72,38",0,"27,62"
Austria,2018,"72,38",0,"27,62"
Bélgica,2005,"85,34",0,"14,66"
Bélgica,2006,"85,34",0,"14,66"
Bélgica,2007,"81,48",0,"18,52"
Bélgica,2008,"81,48",0,"18,52"
Bélgica,2009,"81,48",0,"18,52"
Bélgica,2010,"88,07",0,"11,93"
Bélgica,2011,"88,07",0,"11,93"
Bélgica,2012,"88,07",0,"11,93"
Bélgica,2013,"88,07",0,"11,93"
Bélgica,2014,"90,72","3,88","5,4"
Bélgica,2015,"90,72","3,88","5,4"
Bélgica,2016,"90,72","3,88","5,4"
Bélgica,2017,"90,72","3,88","5,4"
Bélgica,2018,"90,72","3,88","5,4"
Bulgaria,2005,"82,63",0,"17,37"
Bulgaria,2006,"82,63",0,"17,37"
Bulgaria,2007,"82,63",0,"17,37"
Bulgaria,2008,"82,63",0,"17,37"
Bulgaria,2009,"89,79",0,"10,21"
Bulgaria,2010,"89,79",0,"10,21"
Bulgaria,2011,"89,79",0,"10,21"
Bulgaria,2012,"89,79",0,"10,21"
Bulgaria,2013,"90,37",0,"9,63"
Bulgaria,2014,"76,84",0,"23,16"
Bulgaria,2015,"76,84",0,"23,16"
Bulgaria,2016,"76,84",0,"23,16"
Bulgaria,2017,"83,9",0,"16,1"
Bulgaria,2018,"83,9",0,"16,1"
Chipre,2005,"65,21","34,79",0
Chipre,2006,"67,58","32,42",0
Chipre,2007,"67,58","32,42",0
Chipre,2008,"67,58","32,42",0
Chipre,2009,"67,58","32,42",0
Chipre,2010,"67,58","32,42",0
Chipre,2011,"66,57","33,43",0
Chipre,2012,"66,57","33,43",0
Chipre,2013,"66,57","33,43",0
Chipre,2014,"66,57","33,43",0
Chipre,2015,"66,57","33,43",0
Chipre,2016,"69,65","26,52","3,83"
Chipre,2017,"69,65","26,52","3,83"
Chipre,2018,"69,65","26,52","3,83"
Croacia,2005,100,0,0
Croacia,2006,100,0,0
Croacia,2007,100,0,0
Croacia,2008,100,0,0
Croacia,2009,100,0,0
Croacia,2010,100,0,0
Croacia,2011,"95,99","4,01",0
Croacia,2012,"95,99","4,01",0
Croacia,2013,"95,99","4,01",0
Croacia,2014,"95,99","4,01",0
Croacia,2015,100,0,0
Croacia,2016,"93,41",0,"6,59"
Croacia,2017,"93,41",0,"6,59"
Croacia,2018,"93,41",0,"6,59"
Dinamarca,2005,"82,83",0,"17,17"
Dinamarca,2006,"82,83",0,"17,17"
Dinamarca,2007,"83,83",0,"16,17"
Dinamarca,2008,"83,83",0,"16,17"
Dinamarca,2009,"83,83",0,"16,17"
Dinamarca,2010,"83,83",0,"16,17"
Dinamarca,2011,"87,58",0,"12,42"
Dinamarca,2012,"87,58",0,"12,42"
Dinamarca,2013,"87,58",0,"12,42"
Dinamarca,2014,"87,58",0,"12,42"
Dinamarca,2015,"70,86",0,"29,14"
Dinamarca,2016,"70,86",0,"29,14"
Dinamarca,2017,"70,86",0,"29,14"
Dinamarca,2018,"70,86",0,"29,14"
Eslovaquia,2005,100,0,0
Eslovaquia,2006,"86,67",0,"13,33"
Eslovaquia,2007,"86,67",0,"13,33"
Eslovaquia,2008,"86,67",0,"13,33"
Eslovaquia,2009,"86,67",0,"13,33"
Eslovaquia,2010,"79,51",0,"20,49"
Eslovaquia,2011,"79,51",0,"20,49"
Eslovaquia,2012,"92,71",0,"7,29"
Eslovaquia,2013,"92,71",0,"7,29"
Eslovaquia,2014,"92,71",0,"7,29"
Eslovaquia,2015,"92,71",0,"7,29"
Eslovaquia,2016,"59,21",0,"40,79"
Eslovaquia,2017,"59,21",0,"40,79"
Eslovaquia,2018,"59,21",0,"40,79"
Eslovenia,2005,"98,89",0,"1,11"
Eslovenia,2006,"98,89",0,"1,11"
Eslovenia,2007,"98,89",0,"1,11"
Eslovenia,2008,"88,51",0,"11,49"
Eslovenia,2009,"88,51",0,"11,49"
Eslovenia,2010,"88,51",0,"11,49"
Eslovenia,2011,"90,11",0,"9,89"
Eslovenia,2012,100,0,0
Eslovenia,2013,100,0,0
Eslovenia,2014,"93,1",0,"6,9"
Eslovenia,2015,"93,1",0,"6,9"
Eslovenia,2016,"93,1",0,"6,9"
Eslovenia,2017,"93,1",0,"6,9"
Eslovenia,2018,"93,1",0,"6,9"
España,2005,100,0,0
España,2006,100,0,0
España,2007,100,0,0
España,2008,"99,75","0,25",0
España,2009,"99,75","0,25",0
España,2010,"99,75","0,25",0
España,2011,"82,42","16,37","1,21"
España,2012,"82,75","16,04","1,21"
España,2013,"82,75","16,04","1,21"
España,2014,"82,75","16,04","1,21"
España,2015,"98,88",0,"1,12"
España,2016,"99,02",0,"0,98"
España,2017,"99,02",0,"0,98"
España,2018,"99,02",0,"0,98"
Estonia,2005,100,0,0
Estonia,2006,100,0,0
Estonia,2007,100,0,0
Estonia,2008,100,0,0
Estonia,2009,100,0,0
Estonia,2010,100,0,0
Estonia,2011,100,0,0
Estonia,2012,100,0,0
Estonia,2013,100,0,0
Estonia,2014,100,0,0
Estonia,2015,"91,71",0,"8,29"
Estonia,2016,"91,71",0,"8,29"
Estonia,2017,"91,71",0,"8,29"
Estonia,2018,"91,71",0,"8,29"
Finlandia,2005,"98,38",0,"1,62"
Finlandia,2006,"98,38",0,"1,62"
Finlandia,2007,"95,85",0,"4,15"
Finlandia,2008,"95,85",0,"4,15"
Finlandia,2009,"95,85",0,"4,15"
Finlandia,2010,"95,85",0,"4,15"
Finlandia,2011,"80,56",0,"19,44"
Finlandia,2012,"80,56",0,"19,44"
Finlandia,2013,"80,56",0,"19,44"
Finlandia,2014,"80,56",0,"19,44"
Finlandia,2015,"81,59","0,38","18,03"
Finlandia,2016,"81,59","0,38","18,03"
Finlandia,2017,"81,59","0,38","18,03"
Finlandia,2018,"81,59","0,38","18,03"
Francia,2005,100,0,0
Francia,2006,100,0,0
Francia,2007,"97,65",0,"2,35"
Francia,2008,"97,65",0,"2,35"
Francia,2009,"97,65",0,"2,35"
Francia,2010,"97,65",0,"2,35"
Francia,2011,"97,65",0,"2,35"
Francia,2012,"94,88","1,14","3,98"
Francia,2013,"94,88","1,14","3,98"
Francia,2014,"94,88","1,14","3,98"
Francia,2015,"94,88","1,14","3,98"
Francia,2016,"94,88","1,14","3,98"
Francia,2017,"84,79","4,93","10,29"
Francia,2018,"84,79","4,93","10,29"
Grecia,2005,"90,37","3,43","6,2"
Grecia,2006,"90,37","3,43","6,2"
Grecia,2007,"82,47","5,2","12,33"
Grecia,2008,"82,47","5,2","12,33"
Grecia,2009,"81,32","4,84","13,84"
Grecia,2010,"81,32","4,84","13,84"
Grecia,2011,"81,32","4,84","13,84"
Grecia,2012,"51,26","28,6","20,14"
Grecia,2013,"51,26","28,6","20,14"
Grecia,2014,"51,26","28,6","20,14"
Grecia,2015,"44,77","37,88","17,34"
Grecia,2016,"44,77","37,88","17,34"
Grecia,2017,"44,77","37,88","17,34"
Grecia,2018,"44,77","37,88","17,34"
Hungría,2005,"53,7",0,"46,3"
Hungría,2006,"56,57",0,"43,43"
Hungría,2007,"56,57",0,"43,43"
Hungría,2008,"56,57",0,"43,43"
Hungría,2009,"56,57",0,"43,43"
Hungría,2010,"27,84",0,"72,16"
Hungría,2011,"27,84",0,"72,16"
Hungría,2012,"27,84",0,"72,16"
Hungría,2013,"27,84",0,"72,16"
Hungría,2014,"32,2",0,"67,8"
Hungría,2015,"32,2",0,"67,8"
Hungría,2016,"32,2",0,"67,8"
Hungría,2017,"32,2",0,"67,8"
Hungría,2018,"26,88",0,"73,12"
Irlanda,2005,"99,22","0,78",0
Irlanda,2006,"99,22","0,78",0
Irlanda,2007,"92,57","7,43",0
Irlanda,2008,"92,57","7,43",0
Irlanda,2009,"92,57","7,43",0
Irlanda,2010,"92,57","7,43",0
Irlanda,2011,"86,61","11,77","1,62"
Irlanda,2012,"86,61","11,77","1,62"
Irlanda,2013,"86,61","11,77","1,62"
Irlanda,2014,"86,61","11,77","1,62"
Irlanda,2015,"86,61","11,77","1,62"
Irlanda,2016,"67,07","23,67","9,26"
Irlanda,2017,"67,07","23,67","9,26"
Irlanda,2018,"67,07","23,67","9,26"
Italia,2005,100,0,0
Italia,2006,100,0,0
Italia,2007,100,0,0
Italia,2008,100,0,0
Italia,2009,100,0,0
Italia,2010,100,0,0
Italia,2011,100,0,0
Italia,2012,100,0,0
Italia,2013,"69,68",0,"30,32"
Italia,2014,"69,68",0,"30,32"
Italia,2015,"69,68",0,"30,32"
Italia,2016,"69,68",0,"30,32"
Italia,2017,"69,68",0,"30,32"
Italia,2018,"24,69",0,"75,31"
Letonia,2006,"66,51","18,85","14,63"
Letonia,2007,"66,51","18,85","14,63"
Letonia,2008,"66,51","18,85","14,63"
Letonia,2009,"66,51","18,85","14,63"
Letonia,2010,"70,36","21,33","8,31"
Letonia,2011,"50,14","35,11","14,75"
Letonia,2012,"50,14","35,11","14,75"
Letonia,2013,"50,14","35,11","14,75"
Letonia,2014,"47,47","34,96","17,57"
Letonia,2015,"47,47","34,96","17,57"
Letonia,2016,"47,47","34,96","17,57"
Letonia,2017,"47,47","34,96","17,57"
Letonia,2018,"47,47","34,96","17,57"
Lituania,2005,100,0,0
Lituania,2006,100,0,0
Lituania,2007,100,0,0
Lituania,2008,"78,56",0,"21,44"
Lituania,2009,"78,56",0,"21,44"
Lituania,2010,"78,56",0,"21,44"
Lituania,2011,"78,56",0,"21,44"
Lituania,2012,100,0,0
Lituania,2013,100,0,0
Lituania,2014,100,0,0
Lituania,2015,100,0,0
Lituania,2016,"86,06","7,07","6,87"
Lituania,2017,"86,06","7,07","6,87"
Lituania,2018,"86,06","7,07","6,87"
Luxemburgo,2005,"78,72","21,28",0
Luxemburgo,2006,"78,72","21,28",0
Luxemburgo,2007,"78,72","21,28",0
Luxemburgo,2008,"78,72","21,28",0
Luxemburgo,2009,"76,61","23,39",0
Luxemburgo,2010,"76,61","23,39",0
Luxemburgo,2011,"76,61","23,39",0
Luxemburgo,2012,"76,61","23,39",0
Luxemburgo,2013,"76,88","23,12",0
Luxemburgo,2014,"76,88","23,12",0
Luxemburgo,2015,"76,88","23,12",0
Luxemburgo,2016,"76,88","23,12",0
Luxemburgo,2017,"76,88","23,12",0
Luxemburgo,2018,"76,88","23,12",0
Malta,2005,100,0,0
Malta,2006,100,0,0
Malta,2007,100,0,0
Malta,2008,100,0,0
Malta,2009,100,0,0
Malta,2010,100,0,0
Malta,2011,100,0,0
Malta,2012,100,0,0
Malta,2013,100,0,0
Malta,2014,100,0,0
Malta,2015,100,0,0
Malta,2016,100,0,0
Malta,2017,100,0,0
Malta,2018,100,0,0
Países Bajos,2005,"60,23",34,"5,77"
Países Bajos,2006,"75,4","18,63","5,96"
Países Bajos,2007,"75,4","18,63","5,96"
Países Bajos,2008,"75,4","18,63","5,96"
Países Bajos,2009,"75,4","18,63","5,96"
Países Bajos,2010,"73,14","11,24","15,62"
Países Bajos,2011,"73,14","11,24","15,62"
Países Bajos,2012,"76,22","13,6","10,18"
Países Bajos,2013,"76,22","13,6","10,18"
Países Bajos,2014,"76,22","13,6","10,18"
Países Bajos,2015,"76,22","13,6","10,18"
Países Bajos,2016,"76,22","13,6","10,18"
Países Bajos,2017,"67,22","17,71","15,07"
Países Bajos,2018,"67,22","17,71","15,07"
Polonia,2005,"60,63",0,"39,37"
Polonia,2006,"60,63",0,"39,37"
Polonia,2007,"66,44",0,"33,56"
Polonia,2008,"66,44",0,"33,56"
Polonia,2009,"66,44",0,"33,56"
Polonia,2010,"66,44",0,"33,56"
Polonia,2011,"68,76",0,"31,24"
