paisos,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Italia,"0","0","0","0","0","0","0","0","25.6","25.6","25.6","25.6","25.6","69.7"
Hungría,"41.07","42.03","42.03","42.03","42.03","69.4","69.4","69.4","69.4","65.09","65.09","65.09","65.09","68.43"
Polonia,"35","35","32.11","32.11","32.11","32.11","29.89","29.89","29.89","29.89","46.39","46.39","46.39","46.39"
Reino Unido,"3.6","3.6","3.6","3.6","3.6","1.2","1.2","1.2","1.2","1.2","50.5","50.5","43.3","43.3"
Eslovaquia,"0","11.73","11.73","11.73","11.73","17.21","17.21","5.88","5.88","5.88","5.88","35.3","35.3","35.3"
República Checa,"43.01","48.19","48.19","48.19","48.19","31.49","31.49","31.49","29.53","29.53","29.53","29.53","29.72","29.72"
Dinamarca,"16.7","16.7","16.1","16.1","16.1","16.1","12.3","12.3","12.3","12.3","28.9","28.9","28.9","28.9"
Austria,"10.01","15.15","15.15","28.24","28.24","28.24","28.24","28.24","26.29","26.29","26.29","26.29","26","26"
Suecia,"8.39","5.85","5.85","5.85","5.85","11.3","11.3","11.3","11.3","18.6","18.6","18.6","18.6","18.6"
Finlandia,"1.6","1.6","4.05","4.05","4.05","4.05","19.1","19.1","19.1","19.1","17.7","17.7","17.7","17.7"
Letonia,"0","13.1","13.1","13.1","13.1","7.67","13.88","13.88","13.88","16.61","16.61","16.61","16.61","16.61"
Grecia,"5.9","5.9","11.95","11.95","13.1","13.1","13.1","18.9","18.9","18.9","16.3","16.3","16.3","16.3"
Países Bajos,"5.6","5.9","5.9","5.9","5.9","15.4","15.4","10.1","10.1","10.1","10.1","10.1","14.9","14.9"
Bulgaria,"15.8","15.8","15.8","15.8","9.4","9.4","9.4","9.4","9.4","21.6","21.6","21.6","13.22","13.22"
Alemania,"0","0","0","0","0","0","0","0","0","0","0","0","12.6","12.6"
Portugal,"6.35","6.35","6.35","6.35","9.81","9.81","5.17","5.17","5.17","5.17","10.19","10.19","10.19","10.19"
Francia,"0","0","2.28","2.28","2.28","2.28","2.28","3.85","3.85","3.85","3.85","3.85","10.15","10.15"
Estonia,"0","0","0","0","0","0","0","0","0","0","8.1","8.1","8.1","8.1"
Croacia,"0","0","0","0","0","0","0","0","0","0","0","6.23","6.23","6.23"
Eslovenia,"0","0","0","10.61","10.61","10.61","0","0","0","5.97","5.97","5.97","5.97","5.97"
Lituania,"0","0","0","12.69","12.69","12.69","12.69","12.69","12.69","12.69","12.69","5.55","5.55","5.55"
Irlanda,"0","0","0","0","0","0","1.4","1.4","1.4","1.4","1.4","5.4","5.4","5.4"
Bélgica,"17.99","17.99","17.99","17.99","17.99","11.36","11.36","11.36","11.36","5.18","5.18","5.18","5.18","5.18"
Chipre,"0","0","0","0","0","0","0","0","0","0","0","3.7","3.7","3.7"
España,"0","0","0","0","0","0","1.37","1.37","1.37","1.37","0.87","0.77","0.77","0.77"
Rumanía,"0","0","0","0","0","0","0","13.99","13.99","13.99","13.99","0","0","0"
